game_id,game_date,home_team,away_team,start_time,hour,minute,second,actual_hour
2001_01_NYG_DEN,9/10/2001,DEN,NYG,21:00:00,21,0,0,21
2001_02_WAS_GB,9/24/2001,GB,WAS,21:00:00,21,0,0,21
2001_03_SF_NYJ,10/1/2001,NYJ,SF,21:00:00,21,0,0,21
2001_04_STL_DET,10/8/2001,DET,LA,21:00:00,21,0,0,21
2001_05_WAS_DAL,10/15/2001,DAL,WAS,21:00:00,21,0,0,21
2001_06_PHI_NYG,10/22/2001,NYG,PHI,21:00:00,21,0,0,21
2001_07_TEN_PIT,10/29/2001,PIT,TEN,21:00:00,21,0,0,21
2001_08_DEN_OAK,11/5/2001,LV,DEN,21:00:00,21,0,0,21
2001_09_BAL_TEN,11/12/2001,TEN,BAL,21:00:00,21,0,0,21
2001_10_NYG_MIN,11/19/2001,MIN,NYG,21:00:00,21,0,0,21
2001_11_GB_DET,11/22/2001,DET,GB,12:30:00,12,30,0,12
2001_11_TB_STL,11/26/2001,LA,TB,21:00:00,21,0,0,21
2001_12_GB_JAX,12/3/2001,JAX,GB,21:00:00,21,0,0,21
2001_13_IND_MIA,12/10/2001,MIA,IND,21:00:00,21,0,0,21
2001_14_OAK_SD,12/15/2001,LAC,LV,17:00:00,17,0,0,16
2001_14_STL_NO,12/17/2001,NO,LA,21:00:00,21,0,0,21
2001_15_PHI_SF,12/22/2001,SF,PHI,17:00:00,17,0,0,16
2001_15_TEN_OAK,12/22/2001,LV,TEN,21:00:00,21,0,0,21
2001_16_BAL_TB,12/29/2001,TB,BAL,21:00:00,21,0,0,21
2001_17_DEN_IND,1/6/2002,IND,DEN,12:00:00,12,0,0,13
2001_17_MIN_BAL,1/7/2002,BAL,MIN,21:00:00,21,0,0,21
2002_01_PIT_NE,9/9/2002,NE,PIT,21:00:00,21,0,0,21
2002_02_PHI_WAS,9/16/2002,WAS,PHI,21:00:00,21,0,0,21
2002_03_STL_TB,9/23/2002,TB,LA,21:00:00,21,0,0,21
2002_04_DEN_BAL,9/30/2002,BAL,DEN,21:00:00,21,0,0,21
2002_05_GB_CHI,10/7/2002,CHI,GB,21:00:00,21,0,0,21
2002_06_SF_SEA,10/14/2002,SEA,SF,21:00:00,21,0,0,21
2002_07_IND_PIT,10/21/2002,PIT,IND,21:00:00,21,0,0,21
2002_08_NYG_PHI,10/28/2002,PHI,NYG,21:00:00,21,0,0,21
2002_09_MIA_GB,11/4/2002,GB,MIA,21:00:00,21,0,0,21
2002_10_OAK_DEN,11/11/2002,DEN,LV,21:00:00,21,0,0,21
2002_11_CHI_STL,11/18/2002,LA,CHI,21:00:00,21,0,0,21
2002_12_PHI_SF,11/25/2002,SF,PHI,21:00:00,21,0,0,21
2002_13_NE_DET,11/28/2002,DET,NE,12:30:00,12,30,0,12
2002_13_NYJ_OAK,12/2/2002,LV,NYJ,21:00:00,21,0,0,21
2002_14_CHI_MIA,12/9/2002,MIA,CHI,21:00:00,21,0,0,21
2002_15_NE_TEN,12/16/2002,TEN,NE,21:00:00,21,0,0,21
2002_16_PIT_TB,12/23/2002,TB,PIT,21:00:00,21,0,0,21
2002_16_SF_ARI,12/21/2002,ARI,SF,17:00:00,17,0,0,17
2002_17_KC_OAK,12/28/2002,LV,KC,17:00:00,17,0,0,17
2002_17_SF_STL,12/30/2002,LA,SF,21:00:00,21,0,0,21
2003_01_ARI_DET,9/7/2003,DET,ARI,9:06:08,9,6,8,13
2003_01_ATL_DAL,9/7/2003,DAL,ATL,11:19:07,11,19,7,16
2003_01_BAL_PIT,9/7/2003,PIT,BAL,9:06:08,9,6,8,13
2003_01_CHI_SF,9/7/2003,SF,CHI,9:20:06,9,20,6,16
2003_01_DEN_CIN,9/7/2003,CIN,DEN,9:06:09,9,6,9,13
2003_01_HOU_MIA,9/7/2003,MIA,HOU,9:06:02,9,6,2,13
2003_01_IND_CLE,9/7/2003,CLE,IND,9:06:20,9,6,20,13
2003_01_JAX_CAR,9/7/2003,CAR,JAX,9:05:57,9,5,57,13
2003_01_MIN_GB,9/7/2003,GB,MIN,8:05:19,8,5,19,13
2003_01_NE_BUF,9/7/2003,BUF,NE,9:07:22,9,7,22,13
2003_01_NO_SEA,9/7/2003,SEA,NO,9:18:14,9,18,14,16
2003_01_NYJ_WAS,9/4/2003,WAS,NYJ,17:09:06,17,9,6,21
2003_01_OAK_TEN,9/7/2003,TEN,LV,15:51:02,15,51,2,20
2003_01_SD_KC,9/7/2003,KC,LAC,8:14:06,8,14,6,13
2003_01_STL_NYG,9/7/2003,NYG,LA,9:05:18,9,5,18,13
2003_01_TB_PHI,9/8/2003,PHI,TB,17:09:36,17,9,36,21
2003_02_BUF_JAX,9/14/2003,JAX,BUF,9:03:00,9,3,0,13
2003_02_CAR_TB,9/14/2003,TB,CAR,12:05:32,12,5,32,16
2003_02_CHI_MIN,9/14/2003,MIN,CHI,15:44:26,15,44,26,20
2003_02_CIN_OAK,9/14/2003,LV,CIN,9:16:03,9,16,3,16
2003_02_CLE_BAL,9/14/2003,BAL,CLE,9:02:44,9,2,44,13
2003_02_DAL_NYG,9/15/2003,NYG,DAL,17:09:01,17,9,1,21
2003_02_DEN_SD,9/14/2003,LAC,DEN,9:16:23,9,16,23,16
2003_02_DET_GB,9/14/2003,GB,DET,8:03:11,8,3,11,13
2003_02_HOU_NO,9/14/2003,NO,HOU,8:02:33,8,2,33,13
2003_02_MIA_NYJ,9/14/2003,NYJ,MIA,9:02:55,9,2,55,13
2003_02_NE_PHI,9/14/2003,PHI,NE,12:15:33,12,15,33,16
2003_02_PIT_KC,9/14/2003,KC,PIT,8:02:47,8,2,47,13
2003_02_SEA_ARI,9/14/2003,ARI,SEA,9:05:41,9,5,41,16
2003_02_SF_STL,9/14/2003,LA,SF,8:03:55,8,3,55,13
2003_02_TEN_IND,9/14/2003,IND,TEN,8:02:50,8,2,50,13
2003_02_WAS_ATL,9/14/2003,ATL,WAS,9:03:33,9,3,33,13
2003_03_BAL_SD,9/21/2003,LAC,BAL,9:15:29,9,15,29,16
2003_03_CLE_SF,9/21/2003,SF,CLE,9:16:11,9,16,11,16
2003_03_GB_ARI,9/21/2003,ARI,GB,9:06:13,9,6,13,16
2003_03_JAX_IND,9/21/2003,IND,JAX,8:02:43,8,2,43,13
2003_03_KC_HOU,9/21/2003,HOU,KC,8:02:23,8,2,23,13
2003_03_MIN_DET,9/21/2003,DET,MIN,9:03:09,9,3,9,13
2003_03_NO_TEN,9/21/2003,TEN,NO,8:03:12,8,3,12,13
2003_03_NYG_WAS,9/21/2003,WAS,NYG,12:05:34,12,5,34,16
2003_03_NYJ_NE,9/21/2003,NE,NYJ,9:02:59,9,2,59,13
2003_03_OAK_DEN,9/22/2003,DEN,LV,15:09:22,15,9,22,21
2003_03_PIT_CIN,9/21/2003,CIN,PIT,9:02:18,9,2,18,13
2003_03_STL_SEA,9/21/2003,SEA,LA,9:05:58,9,5,58,16
2003_03_TB_ATL,9/21/2003,ATL,TB,9:03:29,9,3,29,13
2003_04_ARI_STL,9/28/2003,LA,ARI,8:03:08,8,3,8,13
2003_04_ATL_CAR,9/28/2003,CAR,ATL,12:15:38,12,15,38,13
2003_04_CIN_CLE,9/28/2003,CLE,CIN,9:02:43,9,2,43,13
2003_04_DAL_NYJ,9/28/2003,NYJ,DAL,12:15:36,12,15,36,16
2003_04_DET_DEN,9/28/2003,DEN,DET,10:15:23,10,15,23,16
2003_04_IND_NO,9/28/2003,NO,IND,15:37:11,15,37,11,20
2003_04_JAX_HOU,9/28/2003,HOU,JAX,8:03:05,8,3,5,13
2003_04_KC_BAL,9/28/2003,BAL,KC,12:06:00,12,6,0,13
2003_04_NE_WAS,9/28/2003,WAS,NE,9:03:05,9,3,5,13
2003_04_PHI_BUF,9/28/2003,BUF,PHI,9:03:05,9,3,5,13
2003_04_SD_OAK,9/28/2003,LV,LAC,9:05:47,9,5,47,16
2003_04_SF_MIN,9/28/2003,MIN,SF,8:03:04,8,3,4,13
2003_04_TEN_PIT,9/28/2003,PIT,TEN,9:02:18,9,2,18,13
2003_05_ARI_DAL,10/5/2003,DAL,ARI,8:02:21,8,2,21,13
2003_05_CIN_BUF,10/5/2003,BUF,CIN,9:03:05,9,3,5,13
2003_05_DEN_KC,10/5/2003,KC,DEN,8:26:36,8,26,36,13
2003_05_DET_SF,10/5/2003,SF,DET,9:15:16,9,15,16,16
2003_05_IND_TB,10/6/2003,TB,IND,17:09:15,17,9,15,21
2003_05_MIA_NYG,10/5/2003,NYG,MIA,9:02:59,9,2,59,13
2003_05_MIN_ATL,10/5/2003,ATL,MIN,9:03:09,9,3,9,13
2003_05_NO_CAR,10/5/2003,CAR,NO,9:02:51,9,2,51,13
2003_05_OAK_CHI,10/5/2003,CHI,LV,8:02:36,8,2,36,13
2003_05_SD_JAX,10/5/2003,JAX,LAC,12:05:45,12,5,45,16
2003_05_SEA_GB,10/5/2003,GB,SEA,8:04:45,8,4,45,13
2003_05_TEN_NE,10/5/2003,NE,TEN,9:02:31,9,2,31,13
2003_05_WAS_PHI,10/5/2003,PHI,WAS,12:16:10,12,16,10,16
2003_06_BAL_ARI,10/12/2003,ARI,BAL,9:15:43,9,15,43,16
2003_06_BUF_NYJ,10/12/2003,NYJ,BUF,12:15:42,12,15,42,16
2003_06_CAR_IND,10/12/2003,IND,CAR,8:03:12,8,3,12,13
2003_06_CHI_NO,10/12/2003,NO,CHI,8:03:19,8,3,19,13
2003_06_HOU_TEN,10/12/2003,TEN,HOU,8:13:59,8,13,59,13
2003_06_KC_GB,10/12/2003,GB,KC,8:03:37,8,3,37,13
2003_06_MIA_JAX,10/12/2003,JAX,MIA,9:02:34,9,2,34,13
2003_06_NYG_NE,10/12/2003,NE,NYG,9:03:00,9,3,0,13
2003_06_OAK_CLE,10/12/2003,CLE,LV,9:02:35,9,2,35,13
2003_06_PHI_DAL,10/12/2003,DAL,PHI,8:02:53,8,2,53,13
2003_06_PIT_DEN,10/12/2003,DEN,PIT,10:15:56,10,15,56,16
2003_06_TB_WAS,10/12/2003,WAS,TB,9:03:14,9,3,14,13
2003_07_BAL_CIN,10/19/2003,CIN,BAL,9:02:52,9,2,52,13
2003_07_CHI_SEA,10/19/2003,SEA,CHI,9:15:44,9,15,44,16
2003_07_DAL_DET,10/19/2003,DET,DAL,9:03:02,9,3,2,13
2003_07_DEN_MIN,10/19/2003,MIN,DEN,8:28:19,8,28,19,13
2003_07_GB_STL,10/19/2003,LA,GB,8:04:37,8,4,37,13
2003_07_KC_OAK,10/20/2003,LV,KC,15:39:58,15,39,58,21
2003_07_NE_MIA,10/19/2003,MIA,NE,9:03:37,9,3,37,13
2003_07_NO_ATL,10/19/2003,ATL,NO,9:03:23,9,3,23,13
2003_07_NYJ_HOU,10/19/2003,HOU,NYJ,11:05:40,11,5,40,16
2003_07_PHI_NYG,10/19/2003,NYG,PHI,9:01:00,9,1,0,13
2003_07_SD_CLE,10/19/2003,CLE,LAC,9:02:41,9,2,41,13
2003_07_TB_SF,10/19/2003,SF,TB,9:15:35,9,15,35,16
2003_07_TEN_CAR,10/19/2003,CAR,TEN,9:02:21,9,2,21,13
2003_07_WAS_BUF,10/19/2003,BUF,WAS,12:15:46,12,15,46,13
2003_08_BUF_KC,10/26/2003,KC,BUF,15:23:54,15,23,54,20
2003_08_CAR_NO,10/26/2003,NO,CAR,7:03:24,7,3,24,13
2003_08_CLE_NE,10/26/2003,NE,CLE,8:03:10,8,3,10,13
2003_08_DAL_TB,10/26/2003,TB,DAL,8:02:42,8,2,42,13
2003_08_DEN_BAL,10/26/2003,BAL,DEN,8:02:13,8,2,13,13
2003_08_DET_CHI,10/26/2003,CHI,DET,7:02:56,7,2,56,13
2003_08_HOU_IND,10/26/2003,IND,HOU,11:15:25,11,15,25,16
2003_08_MIA_SD,10/27/2003,LAC,MIA,14:16:04,14,16,4,21
2003_08_NYG_MIN,10/26/2003,MIN,NYG,7:03:26,7,3,26,13
2003_08_NYJ_PHI,10/26/2003,PHI,NYJ,11:15:45,11,15,45,16
2003_08_SEA_CIN,10/26/2003,CIN,SEA,8:02:57,8,2,57,13
2003_08_SF_ARI,10/26/2003,ARI,SF,9:05:51,9,5,51,16
2003_08_STL_PIT,10/26/2003,PIT,LA,8:03:42,8,3,42,13
2003_08_TEN_JAX,10/26/2003,JAX,TEN,8:02:39,8,2,39,13
2003_09_CAR_HOU,11/2/2003,HOU,CAR,7:02:53,7,2,53,13
2003_09_CIN_ARI,11/2/2003,ARI,CIN,9:05:32,9,5,32,16
2003_09_GB_MIN,11/2/2003,MIN,GB,14:48:14,14,48,14,20
2003_09_IND_MIA,11/2/2003,MIA,IND,8:02:36,8,2,36,13
2003_09_JAX_BAL,11/2/2003,BAL,JAX,8:02:09,8,2,9,13
2003_09_NE_DEN,11/3/2003,DEN,NE,14:09:02,14,9,2,21
2003_09_NO_TB,11/2/2003,TB,NO,8:02:22,8,2,22,13
2003_09_NYG_NYJ,11/2/2003,NYJ,NYG,8:03:02,8,3,2,13
2003_09_OAK_DET,11/2/2003,DET,LV,8:03:08,8,3,8,13
2003_09_PHI_ATL,11/2/2003,ATL,PHI,11:15:00,11,15,0,16
2003_09_PIT_SEA,11/2/2003,SEA,PIT,8:05:36,8,5,36,16
2003_09_SD_CHI,11/2/2003,CHI,LAC,7:02:39,7,2,39,13
2003_09_STL_SF,11/2/2003,SF,LA,8:17:09,8,17,9,16
2003_09_WAS_DAL,11/2/2003,DAL,WAS,10:16:18,10,16,18,13
2003_10_ARI_PIT,11/9/2003,PIT,ARI,8:03:08,8,3,8,13
2003_10_ATL_NYG,11/9/2003,NYG,ATL,8:12:03,8,12,3,13
2003_10_BAL_STL,11/9/2003,LA,BAL,14:40:14,14,40,14,20
2003_10_BUF_DAL,11/9/2003,DAL,BUF,10:15:44,10,15,44,16
2003_10_CHI_DET,11/9/2003,DET,CHI,8:03:04,8,3,4,13
2003_10_CLE_KC,11/9/2003,KC,CLE,7:03:18,7,3,18,13
2003_10_HOU_CIN,11/9/2003,CIN,HOU,8:03:00,8,3,0,13
2003_10_IND_JAX,11/9/2003,JAX,IND,8:02:43,8,2,43,13
2003_10_MIA_TEN,11/9/2003,TEN,MIA,8:21:23,8,21,23,13
2003_10_MIN_SD,11/9/2003,LAC,MIN,8:05:54,8,5,54,16
2003_10_NYJ_OAK,11/9/2003,LV,NYJ,9:15:33,9,15,33,16
2003_10_PHI_GB,11/10/2003,GB,PHI,15:09:45,15,9,45,21
2003_10_SEA_WAS,11/9/2003,WAS,SEA,8:02:38,8,2,38,13
2003_10_TB_CAR,11/9/2003,CAR,TB,8:03:29,8,3,29,13
2003_11_ARI_CLE,11/16/2003,CLE,ARI,8:03:05,8,3,5,13
2003_11_ATL_NO,11/16/2003,NO,ATL,7:04:27,7,4,27,13
2003_11_BAL_MIA,11/16/2003,MIA,BAL,8:03:02,8,3,2,13
2003_11_DAL_NE,11/16/2003,NE,DAL,15:37:49,15,37,49,20
2003_11_DET_SEA,11/16/2003,SEA,DET,8:23:10,8,23,10,16
2003_11_GB_TB,11/16/2003,TB,GB,11:15:29,11,15,29,16
2003_11_HOU_BUF,11/16/2003,BUF,HOU,8:03:00,8,3,0,13
2003_11_JAX_TEN,11/16/2003,TEN,JAX,7:02:23,7,2,23,13
2003_11_KC_CIN,11/16/2003,CIN,KC,8:03:09,8,3,9,13
2003_11_MIN_OAK,11/16/2003,LV,MIN,8:16:20,8,16,20,16
2003_11_NYG_PHI,11/16/2003,PHI,NYG,8:02:57,8,2,57,13
2003_11_NYJ_IND,11/16/2003,IND,NYJ,11:06:00,11,6,0,16
2003_11_SD_DEN,11/16/2003,DEN,LAC,9:05:33,9,5,33,16
2003_11_STL_CHI,11/16/2003,CHI,LA,7:03:00,7,3,0,13
2003_11_WAS_CAR,11/16/2003,CAR,WAS,8:03:11,8,3,11,13
2003_12_CAR_DAL,11/23/2003,DAL,CAR,7:03:58,7,3,58,13
2003_12_CHI_DEN,11/23/2003,DEN,CHI,9:05:59,9,5,59,16
2003_12_CIN_SD,11/23/2003,LAC,CIN,8:15:55,8,15,55,16
2003_12_DET_MIN,11/23/2003,MIN,DET,7:03:00,7,3,0,13
2003_12_IND_BUF,11/23/2003,BUF,IND,8:02:48,8,2,48,13
2003_12_JAX_NYJ,11/23/2003,NYJ,JAX,8:03:04,8,3,4,13
2003_12_NE_HOU,11/23/2003,HOU,NE,7:02:40,7,2,40,13
2003_12_NO_PHI,11/23/2003,PHI,NO,8:03:13,8,3,13,13
2003_12_OAK_KC,11/23/2003,KC,LV,10:16:19,10,16,19,16
2003_12_PIT_CLE,11/23/2003,CLE,PIT,8:02:43,8,2,43,13
2003_12_SEA_BAL,11/23/2003,BAL,SEA,8:02:46,8,2,46,13
2003_12_SF_GB,11/23/2003,GB,SF,7:03:18,7,3,18,13
2003_12_STL_ARI,11/23/2003,ARI,LA,9:05:57,9,5,57,16
2003_12_TEN_ATL,11/23/2003,ATL,TEN,11:15:20,11,15,20,16
2003_12_WAS_MIA,11/23/2003,MIA,WAS,15:37:19,15,37,19,20
2003_13_ARI_CHI,11/30/2003,CHI,ARI,7:03:00,7,3,0,13
2003_13_ATL_HOU,11/30/2003,HOU,ATL,7:03:03,7,3,3,13
2003_13_BUF_NYG,11/30/2003,NYG,BUF,8:02:53,8,2,53,13
2003_13_CIN_PIT,11/30/2003,PIT,CIN,8:03:00,8,3,0,13
2003_13_CLE_SEA,11/30/2003,SEA,CLE,8:15:27,8,15,27,16
2003_13_DEN_OAK,11/30/2003,LV,DEN,9:31:30,9,31,30,16
2003_13_GB_DET,11/27/2003,DET,GB,7:37:57,7,37,57,12
2003_13_KC_SD,11/30/2003,LAC,KC,8:15:21,8,15,21,16
2003_13_MIA_DAL,11/27/2003,DAL,MIA,10:16:15,10,16,15,16
2003_13_MIN_STL,11/30/2003,LA,MIN,8:03:13,8,3,13,13
2003_13_NE_IND,11/30/2003,IND,NE,8:03:07,8,3,7,13
2003_13_NO_WAS,11/30/2003,WAS,NO,11:06:05,11,6,5,16
2003_13_PHI_CAR,11/30/2003,CAR,PHI,8:02:43,8,2,43,13
2003_13_SF_BAL,11/30/2003,BAL,SF,8:02:23,8,2,23,13
2003_13_TB_JAX,11/30/2003,JAX,TB,15:36:46,15,36,46,20
2003_14_ARI_SF,12/7/2003,SF,ARI,8:05:20,8,5,20,16
2003_14_CAR_ATL,12/7/2003,ATL,CAR,15:37:22,15,37,22,20
2003_14_CHI_GB,12/7/2003,GB,CHI,7:03:12,7,3,12,13
2003_14_CIN_BAL,12/7/2003,BAL,CIN,8:02:44,8,2,44,13
2003_14_DAL_PHI,12/7/2003,PHI,DAL,8:03:03,8,3,3,13
2003_14_HOU_JAX,12/7/2003,JAX,HOU,8:02:54,8,2,54,13
2003_14_IND_TEN,12/7/2003,TEN,IND,7:03:00,7,3,0,13
2003_14_KC_DEN,12/7/2003,DEN,KC,9:15:37,9,15,37,16
2003_14_MIA_NE,12/7/2003,NE,MIA,11:16:01,11,16,1,16
2003_14_NYJ_BUF,12/7/2003,BUF,NYJ,11:15:51,11,15,51,16
2003_14_OAK_PIT,12/7/2003,PIT,LV,8:02:31,8,2,31,13
2003_14_SD_DET,12/7/2003,DET,LAC,8:03:25,8,3,25,13
2003_14_SEA_MIN,12/7/2003,MIN,SEA,7:49:10,7,49,10,13
2003_14_TB_NO,12/7/2003,NO,TB,7:03:04,7,3,4,13
2003_14_WAS_NYG,12/7/2003,NYG,WAS,8:03:25,8,3,25,13
2003_15_ATL_IND,12/14/2003,IND,ATL,8:03:16,8,3,16,13
2003_15_BAL_OAK,12/14/2003,LV,BAL,8:05:42,8,5,42,16
2003_15_BUF_TEN,12/14/2003,TEN,BUF,7:03:01,7,3,1,13
2003_15_CAR_ARI,12/14/2003,ARI,CAR,9:16:55,9,16,55,16
2003_15_CLE_DEN,12/14/2003,DEN,CLE,9:05:28,9,5,28,16
2003_15_DAL_WAS,12/14/2003,WAS,DAL,11:17:04,11,17,4,13
2003_15_DET_KC,12/14/2003,KC,DET,7:25:04,7,25,4,13
2003_15_GB_SD,12/14/2003,LAC,GB,8:16:38,8,16,38,16
2003_15_HOU_TB,12/14/2003,TB,HOU,8:03:17,8,3,17,13
2003_15_JAX_NE,12/14/2003,NE,JAX,8:03:04,8,3,4,13
